1;Grodzisko/ 3 MAJA, Dπbrowskiego;14;"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzyd≥o Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia";474
5579;SZEROKA;43 (42/43);kamienica;
5580;SZEROKA;44 (44/45);kamienica;
5581;SZEROKA;45 (44/45);kamienica;
5582;SZEROKA;46 (46/47);kamienica;
5583;SZEROKA;47 (46/47);kamienica;
5584;SZEROKA;48 (48/49);kamienica;
5585;SZEROKA;49 (48/49);kamienica;
5586;SZEROKA;50 (48/49);kamienica;
5587;SZEROKA;51 (50/51);"d. nr 51; Dom pod £ososiem-wytwÛrnia i probiernia"" Der Lachs"" ";694
5588;SZEROKA;52;kamienica;695
5589;SZEROKA;56 (56/57);kamienica;
5590;SZEROKA;57 (56/57);kamienica;
5591;SZEROKA;56 (56/57rÛg);kamienica;
5592;SZEROKA;58 (58/60);kamienica;
5593;SZEROKA;59 (58/60);kamienica;
5594;SZEROKA;60 (58/60);kamienica;
5595;SZEROKA;61 (61/63);kamienica;
5596;SZEROKA;62 (61/63);kamienica;
5597;SZEROKA;65 (64/66);kamienica ;
5598;SZEROKA;64 (64/66); kamienica;
5599;SZEROKA;66 (64/66rÛg); kamienica;
5600;SZEROKA;67-68;Brama Øuraw;132
5601;SZEROKA;75 /76;kamienica;696
5602;SZEROKA;77 (77/79);kamienica;
5603;SZEROKA;78 (77/79);kamienica;
5604;SZEROKA;79 (77/79);plebania ;
5605;SZEROKA;80 (80/81);plebania;
5606;SZEROKA;81 (80/81);kamienica;
5607;SZEROKA;82 (82/83);kamienica;
5608;SZEROKA;83 (82/83);kamienica;
5609;SZEROKA;84 (84/85);kamienica;
5610;SZEROKA;85 (84/85);kamienica;
5611;SZEROKA;86 (86/87);kamienica;
5612;SZEROKA;87 (86/87);kamienica;
5613;SZEROKA;97;kamienica;
5614;SZEROKA;98;kamienica;
5615;SZEWSKA;3 (1/4);d, plebania;
5616;SZEWSKA;4 (1/4);d, plebania;
5617;SZEWSKA;1 (1/4);d, plebania;
5618;SZEWSKA;2 (1/4);d, plebania;
5619;SZKLANA HUTA;03;dom;
5620;SZKLANA HUTA;05;dom;
5621;SZKLANA HUTA;11;dom;
5622;SZKLANA HUTA;13;dom;
5623;SZKLANA HUTA;25;dom;
5624;SZKLANA HUTA;26;dom;
5625;SZKLANA HUTA;29;dom w zespole;
5626;SZKLANA HUTA;29 A;dom w zespole;
5627;SZKLANA HUTA;30;dom w zespole;
5628;SZKLANA HUTA;30 A;dom w zespole;
5629;SZKLANA HUTA;31;dom ;
5630;SZKLANA HUTA;31A;drugi budynek;
5631;SZKLANA HUTA;32;dom;
5632;SZKLANA HUTA;32 A;drugi budynek;
5633;SZKLANA HUTA;34;dom;
5634;SZKLANA HUTA;35;dom;
5635;SZKLANA HUTA;36;dom;
5636;SZKLANA HUTA;37;dom;
5637;SZKLANA HUTA;38;dom;
5638;SZKLANA HUTA;39;dom;
5639;SZKLANA HUTA;40;dom;
5640;SZKLANA HUTA;41;dom;
5641;SZKLANA HUTA;42;dom;
5642;SZPAKI;5;dom;
5643;SZPITALNA;4;d. spichlerz, ob.. Budynek mieszkalny;139
5644;SZYMANOWSKIEGO Karola;6;dom;
5645;SZYMANOWSKIEGO Karola;;dom, dawne koszary Strzyøa GÛrna;
5646;SZYMANOWSKIEGO Karola;;dom, dawne koszary Strzyøa GÛrna;
5647;SZYMANOWSKIEGO Karola;;dom, dawne koszary Strzyøa GÛrna;
5648;SZYMANOWSKIEGO Karola;7;kaplica cment.;
5649;SZYMANOWSKIEGO Karola;9;dom/sklep;
5650;SZYMANOWSKIEGO Karola;9 A;dom;
5651;SZYMANOWSKIEGO Karola;9 B;dom;
5652;SZYMANOWSKIEGO Karola;11;dom;
5653;SZYMANOWSKIEGO Karola;13;dom;
5654;SZYMANOWSKIEGO Karola;15;dom;
5655;SZYMANOWSKIEGO Karola;17;dom;
5656;SZYMANOWSKIEGO Karola;19;dom;
5657;SZYMANOWSKIEGO Karola;21;dom;
5658;SZYMANOWSKIEGO Karola;23;dom;
5659;SZYMANOWSKIEGO Karola;25;dom;
5660;SZYMANOWSKIEGO Karola;27;dom;
5661;SZYMANOWSKIEGO Karola;29;dom;
5662;SZYMANOWSKIEGO Karola;31;dom;
5663;SZYMANOWSKIEGO Karola;33;dom;
5664;SZYMANOWSKIEGO Karola;35;dom;
5665;SZYMANOWSKIEGO Karola;37;dom;
5666;SZYMANOWSKIEGO Karola;39;dom;
5667;SZYMANOWSKIEGO Karola;41;dom;
5668;SZYMANOWSKIEGO Karola;43;dom;
5669;SZYMANOWSKIEGO Karola;45;dom;
5670;SZYMANOWSKIEGO Karola;47;dom;
5671;SZYMANOWSKIEGO Karola;49;dom;
5672;SZYMANOWSKIEGO Karola;51;dom;
5673;SZYMANOWSKIEGO Karola;53;dom;
5674;SZYMANOWSKIEGO Karola;55;dom;
5675;SZYMANOWSKIEGO Karola;57;dom;
5676;SZYMANOWSKIEGO Karola ;10;dom;
5677;SZYMANOWSKIEGO Karola ;59-61;dom;
5678;åL•SKA;1;dom;
5679;åL•SKA;3;szko≥a;
5680;åL•SKA;5;dom;
5681;åL•SKA;7;dom;
5682;åL•SKA;;koúciÛ≥ p.w. NMP KrÛlowej RÛøaÒca åw.;
5683;åLUZA;2;budynek mieszkalny;939
5684;åLUZA;3;dom;
5685;åLUZA;4 A-E;dom;
5686;åNIADECKICH;1;dom;
5687;åNIADECKICH;1 k.;garaø;
5688;åNIADECKICH;2 A;dom;
5689;åNIADECKICH;4;dom;
5690;åNIADECKICH;6;dom;
5691;åNIADECKICH;8;dom;
5692;åNIADECKICH;9;dom;
5693;åNIADECKICH;10;dom;
5694;åNIADECKICH;11;dom;
5695;åNIADECKICH;13;dom;
5696;åNIADECKICH;15;dom;
5697;åNIADECKICH;20;dom;
5698;åNIADECKICH;22;dom;
5699;åNIADECKICH;26;dom;
5700;åNIADECKICH;27;dom;
5701;åNIADECKICH;28;dom;
5702;åNIADECKICH;29;dom;
5703;åNIADECKICH;30;dom;
5704;åW DUCHA;2;hotel Wolne Miasto;
5705;åW DUCHA;2rÛg;hotel Wolne Miasto;
5706;åW DUCHA;2Targ;kamienica;
5707;åW DUCHA;7/9/11;kamienica;
5708;åW DUCHA;11;d. nr 135 kamienica, narozna ul. Latarnianej;660
5709;åW DUCHA;12;d. nr 19 kamienica;661
5710;åW DUCHA;13/15/17;d. nr 131 kamienica;
5711;åW DUCHA;13/15/17;d. nr 132 kamienica;
5712;åW DUCHA;16/20;d. nr 21 kamienica;
5713;åW DUCHA;16/20;d. nr 22 kamienica;
5714;åW DUCHA;16/20;d. nr 23 kamienica;
5715;åW DUCHA;19rÛg;d. nr 129 kamienica, narozna ul. Weglarskiej;
5716;åW DUCHA;21/23;d. nr 128 kamienica;
5717;åW DUCHA;21/23;d. nr 127,;
5718;åW DUCHA;22/24;d. nr ul. kozia 1;
5719;åW DUCHA;25/27;d. nr 125, kamienica;
5720;åW DUCHA;25/27;d. ul. 126;
5721;åW DUCHA;26/30;d. nr 25,  kamienica;
5722;åW DUCHA;26/30;d. nr 26, kamienica;
5723;åW DUCHA;26/30 rÛg;d. nr 25 kamienica;
5724;åW DUCHA;26/30;d. nr 25 kamienica;
5725;åW DUCHA;29/31;d. nr 124 kamienica;
5726;åW DUCHA;29/31;d. nr 124kamienica;
5727;åW DUCHA;31A/35;d. nr 121kamienica;
5728;åW DUCHA;31A/35;d. nr 120, kamienica;
5729;åW DUCHA;32/34;d. nr 27, kamienica;
5730;åW DUCHA;32/34;d. nr 28, kamienica;
5731;åW DUCHA;34 (32/34);"d. nr 29; kamienica";
5732;åW DUCHA;36 (36/38);d. nr 30, kamienica;
5733;åW DUCHA;38 (36/38);d. nr 31 kamienica;
5734;åW DUCHA;37/39;d. nr 118, kamienica;
5735;åW DUCHA;37/39;d. nr 119, kamienica;
5736;åW DUCHA;40/42;d. nr 32, kamienica;
5737;åW DUCHA;40/42;d. nr 33, kamienica;
5738;åW DUCHA;41 (41/43);d. nr 117, kamienica;662
5739;åW DUCHA;42 (41/43);d. nr 117, kamienica;
5740;åW DUCHA;43 (41/43);d. nr 116, kamienica, w zwieÒczeniu rzeüba Pallas Ateny;
5741;åW DUCHA;45;"d. nr 115; kamienica burmistrza C.F. Gralatha";663
5742;åW DUCHA;46;d. nr 35 kamienica;
5743;åW DUCHA;47;d. nr 114, miejsce urodzin A. Schopenhauera;664
5744;åW DUCHA;48;"d. nr 48; kamienica";
5745;åW DUCHA;49 (49/51);d. nr 113, kamienica, w zwieÒczeniu rzeüba or≥a;665
5746;åW DUCHA;51 (49/51);d. nr 112, kamienica;
5747;åW DUCHA;53/55;d. nr 111, kamienica;
5748;åW DUCHA;53/55;d. nr 111;
5749;åW DUCHA;58;kaplica p.w. åw. Ducha;
5750;åW DUCHA;59/61;d. nr 109, kamienica;
5751;åW DUCHA;59/61;d. nr 110, kamienica;
5752;åW DUCHA;59/61;d. nr Z≥optnikÛw 19/21 kamienica;
5753;åW DUCHA;63/65;d. nr 107, kamienica;
5754;åW DUCHA;67/71;"d. nr 104; kamienica";
5755;åW DUCHA;79 (79/81);d. nr 97 kamienica;666
5756;åW DUCHA;81;d. nr 96 , kamienica, portal rokokowy;667
5757;åW DUCHA;83 (83/85);"d. nr 95;  kamienica";
5758;åW DUCHA;85 (83/85);"d. nr 94; kamienica, kule z datπ 1713";
5759;åW DUCHA;87/89;"d. nr 93; kamienica, s≥upki przedproøowe 1665";
5760;åW DUCHA;89 (87/89);d. nr 92 kamienica, p≥yty przedproøa regencyjne;
5761;åW DUCHA;95 (91/95);d. nr 90, kamienica, barokowe s≥upki granitowe;
5762;åW DUCHA;97;d. nr 89 kamienica;
5763;åW DUCHA;99;d. nr 88, kamienica;
5764;åW DUCHA;101 (101/103);d. nr 86, kamienica, s≥upki przedproøa 1702;668
5765;åW DUCHA;103 (101/103);"d. nr 85;, kamienica, rek.p≥yty przedproøa z monogramami  ";669
5766;åW DUCHA;105 (105/107);d. nr 84 kamienica, p≥yta przedproøa;
5767;åW DUCHA;109;d. nr 82 budynek gildii øeglarzy , Zwiπzku Rzemieúlniczego, Izby Gospodarczej, portal z galeonem;670
5768;åW DUCHA;111 (111/113);"d. nr 81, kamienica ""Pod ØÛ≥wiem"", dom rodzinny Joanny Schopenhauer";671
5769;åW DUCHA;113 (111/113);d. nr 80,kamienica, d. kosciÛ≥ anglikaÒski;
5770;åW DUCHA;115 (115/117);d. nr 79 kamienica przypisywana H. Kramerowi;672
5771;åW DUCHA;117 (115/117);d. nr 78 kamienica o fasadzie klasycystycznej;
5772;åW DUCHA;119 (119/121);d. nr 77 kamienica, w≥asnoúÊ G. Loschina;673
5773;åW DUCHA;121 (119/121);d. nr 76 kamienica, 2 plyty ze scenami p≥askorzeübionymi;674
5774;åW DUCHA;123 (123/125);d. Nr 75 kamienica, portal rokokowy;675
5775;åW DUCHA;127 (127/129);d. nr. 73 kamienica;676
5776;åW DUCHA;;Brama åw. Ducha;444
5777;åW DUCHA;;Kaplica KrÛlewska;418
5778;åW. BARBARY;1;szko≥a;
5779;åW. BARBARY;1 ;budynek gosp. Szko≥y;
5780;åW. BARBARY;3;d. dom parafialny;
5781;åW. BARBARY;4;dom;
5782;åW. BARBARY;4 A;budynek gospodarczy szkoly;
5783;åW. TR”JCY;4;zespÛ≥ klasztoru franciszkanÛw:koúciÛ≥ p.w. åw. TrÛjcy, dom galeriowy, kaplica åw. Anny;133
5784;åW. TR”JCY;5;zespÛ≥ kamiennic ( nr 5, 5a, 6 , 7 );994
5785;åW. TR”JCY;6;zespÛ≥ kamiennic ( nr 5, 5a, 6 , 7 );994
5786;åW. TR”JCY;7;zespÛ≥ kamiennic ( nr 5, 5a, 6 , 7 );994
5787;åWIBNIE—SKA;8;dom;
5788;åWIBNIE—SKA;9 B;dom;
5789;åWIBNIE—SKA;14;dom;
5790;åWIBNIE—SKA;18;dom;
5791;åWIBNIE—SKA;20;dom;
5792;åWIBNIE—SKA;22;dom;
5793;åWIBNIE—SKA;24;dom;
5794;åWIBNIE—SKA;26;dom;
5795;åWIBNIE—SKA;28;dom;
5796;åWIBNIE—SKA;30;dom;
5797;åWIBNIE—SKA;36;dom;
5798;åWIBNIE—SKA;42;dom;
5799;åWIBNIE—SKA;44;dom;
5800;åWIBNIE—SKA;50;dom;
5801;åWIBNIE—SKA;52;dom;
5802;åWIBNIE—SKA;54;dom;
5803;åWIBNIE—SKA;56;dom;
5804;åWIBNIE—SKA;58;dom;
5805;åWIBNIE—SKA;60;dom;
5806;åWIBNIE—SKA;62;dom;
5807;åWIBNIE—SKA;68;dom;
5808;åWIBNIE—SKA;70;dom;
5809;åWIBNIE—SKA;72;dom;
5810;åWIBNIE—SKA;74;dom;
5811;åWIBNIE—SKA;76;dom;
5812;åWIBNIE—SKA;78;dom;
5813;åWIBNIE—SKA;80;dom;
5814;åWIBNIE—SKA;84;dom;
5815;åWIBNIE—SKA;86;dom;
5816;åWIBNIE—SKA;88;dom;
5817;åWIBNIE—SKA;90;dom;
5818;åWIBNIE—SKA;92;dom;
5819;åWIBNIE—SKA;96;dom;
5820;åWIBNIE—SKA;100;dom;
5821;åWIBNIE—SKA;102;dom;
5822;åWIBNIE—SKA;108;dom;
5823;åWIBNIE—SKA;114;dom;
5824;åWIBNIE—SKA;116;dom;
5825;åWIBNIE—SKA;118;dom;
5826;åWIBNIE—SKA;122;dom;
5827;åWIBNIE—SKA;124;dom;
5828;åWIBNIE—SKA;126;dom;
5829;åWIBNIE—SKA;128;dom;
5830;åWIBNIE—SKA;132;dom;
5831;åWIBNIE—SKA;134;dom;
5832;åWIBNIE—SKA;136;dom;
5833;åWIBNIE—SKA;144;dom;
5834;åWIBNIE—SKA;152;dom;
5835;åWIBNIE—SKA;154;dom;
5836;åWIBNIE—SKA;156;dom;
5837;åWIBNIE—SKA;158;dom i budynek gosp.;
5838;åWIBNIE—SKA;162;dom;
5839;åWIBNIE—SKA;164;dom;
5840;åWIBNIE—SKA;180;ma≥y budynek przy schodkach do basenu przystani;
5841;åWIBNIE—SKA;200;dom;
5842;åWIBNIE—SKA;204;øu≥awska zagroda gburska: dom, spichlerz, par, staw;1736
5843;åWIERKOWA;1;dom;
5844;åWIERKOWA;8;dom;
5845;åWIERKOWA;15;dom;
5846;åWI TOJA—SKA;19/23 (19,20,21,22,23);d. drukarnia Danziger;
5847;åWI TOJA—SKA;26/31 (26,27,28,29,30);przedszkole;
5848;åWI TOJA—SKA;35/36 (35);kamienica;
5849;åWI TOJA—SKA;36 (35 (38);kamienica ;593
5850;åWI TOJA—SKA;37 (35 /38);kamienica;594
5851;åWI TOJA—SKA;38 (35 /38);kamienica;
5852;åWI TOJA—SKA;39 (39 /40);kamienica;
5853;åWI TOJA—SKA;40 (39/40 rÛg);d. ul. Tokarska 1,2, kamienica;
5854;åWI TOJA—SKA;43/44;Brama åwiÍtojaÒska;439
5855;åWI TOJA—SKA;44;kamienica;
5856;åWI TOJA—SKA;45;kamienica;
5857;åWI TOJA—SKA;47/48, rÛg;kamienice;1259
5858;åWI TOJA—SKA;49;kamienica, ob. dom zakonny;677
5859;åWI TOJA—SKA;50;koúciÛ≥ úw. Jana;442
5860;åWI TOJA—SKA;65;kamienica;
5861;åWI TOJA—SKA;66 (66/67);kamienica;
5862;åWI TOJA—SKA;67 (66,67);kamienica;
5863;åWI TOJA—SKA;68 (68/69);kamienica d. 70;
5864;åWI TOJA—SKA;69 (68/69);kamienica d. 69;
5865;åWI TOJA—SKA;68/69;kamienica;
5866;åWI TOJA—SKA;72;koúciÛ≥ klasztorny i parafialny úw. Miko≥aja;70
5867;åWI TOJA—SKA;72 rÛg;plebania;
5868;åWI TOJA—SKA;72;dom parafialny (szach.);
5869;åWI TOKRZYSKA;54;dom;
5870;åWI TOKRZYSKA;55;karczma ob.. mieszkalny;
5871;åWI TOKRZYSKA;59;dom;
5872;åWI TOKRZYSKA;61;dom;
5873;åWI TOKRZYSKA;67;dom;
5874;åWI TOKRZYSKA;71;dom;
5875;åWI TOPE£KA ;1/2;dom;
5876;åWI TOPE£KA ;4;dom;
5877;åWI TOPE£KA ;5;dom;
5878;åWI TOPE£KA ;6;dom;
5879;åWI TOPE£KA ;7;dom;
5880;åWI TOPE£KA ;7A;dom;
5881;åWI TOPE£KA ;8;dom;
5882;åWI TOPE£KA ;8A;dom;
5883;åWI TOPE£KA ;9A;dom;
5884;åWI TY WOJCIECH;;uk≥ad ruralistyczny przedmieúcia GdaÒsk åwiÍty Wojciech;1119
5885;TABOROWA;3;dom;
5886;TAMKA;01;dom;
5887;TAMKA;06;dom;
5888;TAMKA;23;dom;
5889;TAMKA;24;dom;
5890;TAMKA;26;dom;
5891;TAMKA;28;dom;
5892;TAMKA;30;dom;
5893;TAMKA;45;dom;
5894;TAMKA;48;dom;
5895;TARASY ;1/12;domy w zespole;
5896;TARASY ;2/3/4/5/6;domy w zespole;
5897;TARASY ;7/8/9/10/11;domy w zespole;
5898;TARCICE;8;dom;
5899;TARCICE;12;dom;
5900;TARCICE;13;dom;
5901;TARG DRZEWNY;089.1/1;dzia≥ka z Pomnikiem Jana III Sobieskiego;
5902;TARG RAKOWY;5/6;Budynek  Biblioteki WojewÛdzkiej;
5903;TARG RAKOWY;7/8;dom;
5904;TARG RYBNY;6 A ;kamienica d. 6;597
5905;TARG RYBNY;6 A ;kamienica d. 7;598
5906;TARG RYBNY;6 B (8);kamienica ;
5907;TARG RYBNY;6 B;kamienica d. 9;596
5908;TARG RYBNY;6 C (11);kamienica ;
5909;TARG RYBNY;6 C (10);kamienica ;595
5910;TARG RYBNY;10 A (14);kamienica ;
5911;TARG RYBNY;10 A (13);kamienica ;
5912;TARG RYBNY;10 A, rÛg (12);kamienica ;
5913;TARG RYBNY;10 B (18);kamienica;
5914;TARG RYBNY;10 B (16);kamienica;
5915;TARG RYBNY;10 B (15);kamienica;
5916;TARG RYBNY;10 C (19);kamienica;
5917;TARG RYBNY;10 C (20);kamienica;
5918;TARG RYBNY;10 C, rÛg (20,21);kamienica;
5919;TARG RYBNY;10 B  (17);kamienica;
5920;TARG SIENNY;5;"d. nr 8; ";
5921;TARG W GLOWY;;Teatr Wybrzeøe;
5922;TARG W GLOWY;4;Wielka Zbrojownia ze studnia przy elewacji wsch.;454
5923;TARG W GLOWY;6;Baszta S≥omiana;428
5924;TARG W GLOWY;26;ZespÛ≥ Przedbramia,Bramy WiÍziennej i Katowni;494
5925;TARG W GLOWY;27;DwÛr Bractwa úw. Jerzego;413
5926;TARNINY;2/4;dom;
5927;TARNINY;6/8;dom;
5928;TARTACZNA;1;dom;
5929;TARTACZNA;2;dom;
5930;TARTACZNA;2 k.;dom;
5931;TATRZA—SKA;2;dom;
5932;TATRZA—SKA;2 A;budynek gospodarczy;
5933;TATRZA—SKA;4;dom;
5934;TATRZA—SKA;5/5 A;dom;
5935;TATRZA—SKA;6;dom;
5936;TATRZA—SKA;7;dom;
5937;TEATRALNA;2;d. Stara Aprteka;465
5938;TETMAJERA Kazimierza;2;dom;
5939;TETMAJERA Kazimierza;3;dom;
5940;TETMAJERA Kazimierza;3;dom;
5941;TETMAJERA Kazimierza;5;willa;
5942;TETMAJERA Kazimierza;7;dom;
5943;TETMAJERA Kazimierza;8;dom;
5944;T CZOWA;11;dom;
5945;T CZOWA;11;budynek gospodarczy;
5946;T CZOWA;13;dom;
5947;T CZOWA;16;dom;
5948;T CZOWA;20 C;dom;
5949;T CZOWA;22;dom;
5950;T CZOWA;22 C;dom;
5951;T CZOWA;23 D;dom;
5952;T CZOWA;26;dom;
5953;TKACKA;1/6;"d. nr 1-6; ob. Akademia Sztuk PiÍknych; ";
5954;TKACKA;7/8 (7);"d. nr 7;  ob. siedziba redakcji ""Gazety Wyborczej""; kamienica";
5955;TKACKA;7/8 (8);"d. nr 8;ob. siedziba redakcji ""Gazety Wyborczej""; kamienica";
5956;TKACKA;9/10 ;"d. nr 9 i 10; kamienica";
5957;TKACKA;11/13 (11);"d. nr 11; ob. Izba Skarbowa;";
5958;TKACKA;11/13 (12);"d. nr 12;  ob. Izba Skarbowa;";
5959;TKACKA;11/13 (13);kamienica;
5960;TKACKA;14/15 (14);kamienica;
5961;TKACKA;14/15 (15);kamienica;
5962;TKACKA;17/18 ;kamienica;
5963;TKACKA;19/20 (19);kamienica;
5964;TKACKA;20 (19/20);kamienica;617
5965;TKACKA;21/22 (21);kamienica;
5966;TKACKA;21/22 (22);kamienica;
5967;TKACKA;23/24 (23);kamienica;
5968;TKACKA;23/24 (24);kamienica;
5969;TKACKA;25/26 ;kamienica;
5970;TKACKA;27/28 (27);kamienica;
5971;TKACKA;27/28 rÛg;kamienica;
5972;TOBIASZA;3 AB;kamienica;
5973;TOBIASZA;6/7/8;kamienica;
5974;TOBIASZA;8A (20,21,22);kamienica;
5975;TOBIASZA;8B (23);kamienica;
5976;TOBIASZA;8B (24);kamienica;
5977;TOKARSKA ;21/25 (16,17);d. nr 16, 17  ;
5978;TOKARSKA ;21/25 (14,15);"d. nr 14, 15;  ";
5979;TOKARSKA ;21/25 (12,13);"d. nr 12, 13; ";
5980;TOKARSKA ;21/25 rÛg;d. ul. åwiÍtojaÒska 69, 70, 71   ;
5981;Tokarska 6, D≥ugie Pobrzeøe;(20);"d. nr 25; proj. Hotel Hanza";
5982;Tokarska 6, D≥ugie Pobrzeøe;(23);"d. nr 21; Hotel Hanza";
5983;Tokarska 6, D≥ugie Pobrzeøe;(21);"d. nr 24; proj.: Hotel Hanza";
5984;Tokarska 6, D≥ugie Pobrzeøe;(25);"d. nr 22; proj.:Hotel Hanza";
5985;Tokarska 6, D≥ugie Pobrzeøe;(24);"d. nr.20; proj.: Hotel Hanza";
5986;Tokarska 6, D≥ugie Pobrzeøe;(22);"d. nr 23; proj.: SHotel Hanza";
5987;Tokarska 6, D≥ugie Pobrzeøe;;"d. ul. åwiÍtojaÒska 42; Hotel Hanza";
5988;Tokarska 6, D≥ugie Pobrzeøe rÛg;;"d. ul. åwiÍtojaÒska 41; Hotel Hanza";
5989;TOPOLOWA ;1;dom;
5990;TOPOLOWA ;2;dom;
5991;TOPOLOWA ;7;szko≥a, II LO, sala gimnastyczna;
5992;TOPOLOWA ;8/9;dom;
5993;TOPOLOWA ;10;budynek mieszkalny;
5994;TOPOLOWA ;11/12;dom;
5995;TORU—SKA;1 k.;ZespÛ≥ klasztoru franciszkanÛw  klasztor, teren klasztoru, ob. Muzeum Narodowe;133
5996;TORU—SKA;7;dom;
5997;TORU—SKA;14;magazyn PKP;
5998;TORU—SKA;23;dom;
5999;TORU—SKA;24 A;dom;
6000;TORU—SKA;24;dom;
6001;TORU—SKA;25;dom;
6002;TORU—SKA;26;dom;
6003;TORU—SKA;27;dom;
6004;TORU—SKA;28;dom;
6005;TORU—SKA;30;dom;
6006;TORU—SKA;32;dom;
6007;TOWAROWA;1 A;dom;
6008;TRAKT åW. WOJCIECHA;57;dom w≥aúciciela Drukarni GdaÒskiej;1653
6009;TRAKT åW. WOJCIECHA;42;dom;
6010;TRAKT åW. WOJCIECHA;44;dom;
6011;TRAKT åW. WOJCIECHA;46;dom;
6012;TRAKT åW. WOJCIECHA;52;dom;
6013;TRAKT åW. WOJCIECHA;57;dom;
6014;TRAKT åW. WOJCIECHA;58;dom;
6015;TRAKT åW. WOJCIECHA;59;budynek mieszkalny;
6016;TRAKT åW. WOJCIECHA;62;dom;
6017;TRAKT åW. WOJCIECHA;64;dom;
6018;TRAKT åW. WOJCIECHA;65 A;budynek mieszkalny;
6019;TRAKT åW. WOJCIECHA;66;dom;
6020;TRAKT åW. WOJCIECHA;70;dom;
6021;TRAKT åW. WOJCIECHA;72;dom;
6022;TRAKT åW. WOJCIECHA;78;dom;
6023;TRAKT åW. WOJCIECHA;80;dom;
6024;TRAKT åW. WOJCIECHA;82;dom;
6025;TRAKT åW. WOJCIECHA;89;dom;
6026;TRAKT åW. WOJCIECHA;93;dom;
6027;TRAKT åW. WOJCIECHA;95;dom;
6028;TRAKT åW. WOJCIECHA;97;dom;
6029;TRAKT åW. WOJCIECHA;99;dom;
6030;TRAKT åW. WOJCIECHA;101;dom;
6031;TRAKT åW. WOJCIECHA;103 A;dom;
6032;TRAKT åW. WOJCIECHA;105/107;dom;
6033;TRAKT åW. WOJCIECHA;109;dom;
6034;TRAKT åW. WOJCIECHA;111;dom;
6035;TRAKT åW. WOJCIECHA;113;dom;
6036;TRAKT åW. WOJCIECHA;173;budynek mieszkalny;
6037;TRAKT åW. WOJCIECHA;211;dom;
6038;TRAKT åW. WOJCIECHA;264;dom;
6039;TRAKT åW. WOJCIECHA;264;dom, drugi budynek;
6040;TRAKT åW. WOJCIECHA;266;dom;
6041;TRAKT åW. WOJCIECHA;268/270 ;zespÛ≥ folwarku:dom, dwa budynki gospodarcze , stodo≥a;1050
6042;TRAKT åW. WOJCIECHA;270;dom;
6043;TRAKT åW. WOJCIECHA;274;dom;
6044;TRAKT åW. WOJCIECHA;292;dom;
6045;TRAKT åW. WOJCIECHA;293;ZespÛ≥ Dworu FerberÛw (dwÛr, park) , ob.. Pomorski Oúrodek Doradztwa Rolniczego;1050
6046;TRAKT åW. WOJCIECHA;297;Lwi DwÛr;134
6047;TRAKT åW. WOJCIECHA;320;"zespÛ≥ zajazdu ""Pod 3 úwiÒskimi g≥owami""z parkiem, ob. przedszkole nr 24";1050
6048;TRAKT åW. WOJCIECHA;375;dom;
6049;TRAKT åW. WOJCIECHA;377;dom;
6050;TRAKT åW. WOJCIECHA;394;dom;
6051;TRAKT åW. WOJCIECHA;396;dom;
6052;TRAKT åW. WOJCIECHA;396 A;dom;
6053;TRAKT åW. WOJCIECHA;396 A;budynek gospodarczy;
6054;TRAKT åW. WOJCIECHA;396 A;budynek gospodarczy;
6055;TRAKT åW. WOJCIECHA;413;dom;
6056;TRAKT åW. WOJCIECHA;423;dom;
6057;TRAKT åW. WOJCIECHA;431;dom;
6058;TRAKT åW. WOJCIECHA;433;dom;
6059;TRAKT åW. WOJCIECHA;434;dom, poczta;
6060;TRAKT åW. WOJCIECHA;437;dom;1078
6061;TRAKT åW. WOJCIECHA;440;koúciÛ≥ úw. Wojciecha;690
6062;TRAKT åW. WOJCIECHA;440;plebania;690
6063;TRAKT åW. WOJCIECHA;440;kapliczka na gÛrze;690
6064;TRAKT åW. WOJCIECHA;446;dom;
6065;TRAKT åW. WOJCIECHA;448;dom;
6066;TRAKT åW. WOJCIECHA;453;dom;
6067;TRAKT åW. WOJCIECHA;453;dom;
6068;TRAKT åW. WOJCIECHA;479;dom;
6069;TRAKT åW. WOJCIECHA;481;dom;
6070;TRAKT åW. WOJCIECHA;483;dom;
6071;TRA£OWA;4;dom;
6072;TRA£OWA;5;dom;
6073;TRA£OWA;7;dom;
6074;TRA£OWA;11;dom;
6075;TRA£OWA;11;budynek gospodarczy;
6076;TRAUGUTTA Romualda ;1;dom;
6077;TRAUGUTTA Romualda ;3;dom;
6078;TRAUGUTTA Romualda ;4;dom;
6079;TRAUGUTTA Romualda ;5;dom;
6080;TRAUGUTTA Romualda ;6;dom;
6081;TRAUGUTTA Romualda ;7;dom;
6082;TRAUGUTTA Romualda ;9;dom;
6083;TRAUGUTTA Romualda ;8/10;dom;
6084;TRAUGUTTA Romualda ;12;dom;
6085;TRAUGUTTA Romualda ;13;dom;
6086;TRAUGUTTA Romualda ;14;dom;
6087;TRAUGUTTA Romualda ;15;dom;
6088;TRAUGUTTA Romualda ;17;dom;
6089;TRAUGUTTA Romualda ;19;dom;
6090;TRAUGUTTA Romualda ;21;dom;
